IDBuyer;run;r;Day;r;Hour;r;r;Seller;r;Buyer;r;Prod;Qte/dem;QualID;r;FinPrice;r;TransPrice;r;StdPrice;suply/demand;ProdPrice;sup2/dem2;Age;r;Qty;margStdPr;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10053;;D;1;H;7;Trans;From;1;To;53;Pr;0;Qual;3;FinPrice;32;Price;30,16;StdPrice;30,16;BuyPrice;17,17;Age;0;Qty;10;Qual;0,639355;1;10100;43,1556;10;176;176;0,061007958;0,756552126;0,610079576;7,565521258;230;389;1,7;0,043478261;0,025706941;N;XP4;10153;70
10046;;D;1;H;40;Trans;From;4;To;46;Pr;0;Qual;3;FinPrice;36;Price;31,85;StdPrice;31,85;BuyPrice;17,53;Age;0;Qty;8;Qual;0,826788;2;10200;46,1878;40;372;372;0,130298273;0,816885339;1,042386185;6,535082715;70;377;5,4;0,114285714;0,021220159;N;XP4;10246;120
10049;;D;1;H;45;Trans;From;2;To;49;Pr;0;Qual;3;FinPrice;32;Price;28,52;StdPrice;28,52;BuyPrice;13,89;Age;0;Qty;9;Qual;0,604052;1;10100;43,1556;50;176;176;0,122019635;1,053275738;1,098176718;9,479481641;230;389;1,7;0,039130435;0,023136247;N;XP4;10149;110
10053;;D;1;H;65;Trans;From;6;To;53;Pr;2;Qual;1;FinPrice;32;Price;30,46;StdPrice;30,46;BuyPrice;17,17;Age;1;Qty;10;Qual;0,605208;1;12100;43,7525;70;283;283;0,050558109;0,774024461;0,50558109;7,740244613;230;528;2,3;0,043478261;0,018939394;N;XP4;12153;70
10025;;D;1;H;65;Trans;From;8;To;25;Pr;0;Qual;1;FinPrice;20;Price;14,47;StdPrice;14,47;BuyPrice;14,47;Age;1;Qty;10;Qual;0,299303;0;10000;0;70;0;0;0,382170007;0;3,821700069;0;200;271;1,4;0,05;0,036900369;B;XP4;10025;110
10053;;D;1;H;67;Trans;From;15;To;53;Pr;1;Qual;2;FinPrice;36;Price;33,6;StdPrice;33,6;BuyPrice;18,01;Age;0;Qty;10;Qual;0,855894;2;11200;49,206;70;202;202;0,071428571;0,865630205;0,714285714;8,656302054;50;201;4;0,2;0,049751244;N;XP4;11253;70
10052;;D;1;H;68;Trans;From;15;To;52;Pr;1;Qual;2;FinPrice;36;Price;33,6;StdPrice;33,6;BuyPrice;18,01;Age;0;Qty;10;Qual;0,855894;2;11200;49,206;70;202;202;0,071428571;0,865630205;0,714285714;8,656302054;50;201;4;0,2;0,049751244;N;XP4;11252;90
10057;;D;1;H;70;Trans;From;4;To;57;Pr;2;Qual;3;FinPrice;36;Price;33,34;StdPrice;33,34;BuyPrice;20,47;Age;0;Qty;10;Qual;0,9999;2;12200;46,2121;70;378;378;0,079784043;0,628724963;0,797840432;6,287249634;71;608;8,6;0,14084507;0,016447368;R;XP4;12257;120
10023;;D;1;H;70;Trans;From;7;To;23;Pr;1;Qual;0;FinPrice;20;Price;14,94;StdPrice;14,94;BuyPrice;14,94;Age;1;Qty;10;Qual;0,123843;0;11000;0;70;0;0;0,338688086;0;3,386880857;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11023;230
10026;;D;1;H;72;Trans;From;2;To;26;Pr;0;Qual;0;FinPrice;20;Price;14,87;StdPrice;14,87;BuyPrice;14,87;Age;1;Qty;10;Qual;0,1713;0;10000;0;70;0;0;0,344989913;0;3,449899126;0;200;271;1,4;0,05;0,036900369;B;XP4;10026;180
