D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;0;23;-275.74;124.26;0.450642;275.74;124.26;0.450642;5;00000000;5.6;0.2;5;5.6;0.6;2.5;0;8;10;3;0.75;0.133178;0.001;0.101647;5;0.466783;0.01;1;0.133178;0.05;1;0.01;0;0;20;[[23:1:2]:[23:5:1]:[23:6:1]:[23:7:1]:[23:10:1]:[23:13:1]:[23:17:1]:];10;2;1;20;0;0;0;0.5;0;0;0;0.15;-6;0.4;1.14286;7;
D;1;H;0;24;-248.7;151.3;0.608363;248.7;151.3;0.608363;5;00000000;5.13333;0.2;5;5.13333;0.133333;2.5;0;8;10;3;0.75;0.125438;0.0389422;0.140115;5;0.586762;0.01;1;0.125438;0.05;1;0.01;1;15;20;[[24:12:1]:[24:15:1]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.1;-6;0.1;1;2;
D;1;H;0;29;-247.32;152.68;0.617338;247.32;152.68;0.617338;5;00000000;5.43306;0.2;5;5.43306;0.433056;2.5;0;8;10;3;0.75;0.167797;0.0423653;0.0951728;5;0.492031;0.01;1;0.167797;0.05;1;0.01;1;13;20;[[29:4:1]:[29:11:1]:[29:12:1]:[29:13:1]:[29:20:1]:];10;2;1;20;0;0;0;1;0;1;0;0.15;-5.95;0.25;1;5;
D;1;H;0;34;-143.3;56.7;0.395673;143.3;56.7;0.395673;5;00000000;5.33333;0.2;5.00042;5.35;0.349579;2.5;0;8;10;3;0.75;0.0631109;0.0500314;0.145052;5;0.697862;0.01;1;0.0631109;0.05;1;0.01;0;0;10;[[34:5:1]:[34:7:1]:[34:8:2]:[34:13:1]:[34:14:1]:];5;2;1;20;0.1;5;0;1;0;0.5;0;0.05;-6.05;0.3;1.2;5;
D;1;H;0;38;-239.6;80.4;0.335559;239.6;80.4;0.335559;5;00000000;6.01667;0.2;5;6.03333;1.03333;2.5;0;8;10;3;0.75;0.0613762;0.0647677;0.120395;5;0.680452;0.01;1;0.0613762;0.05;1;0.01;0;0;15;[[38:2:1]:[38:3:1]:[38:6:1]:[38:7:1]:[38:8:1]:[38:9:1]:[38:10:1]:[38:11:1]:[38:12:1]:[38:13:1]:[38:14:1]:[38:15:1]:[38:16:1]:[38:17:1]:[38:19:1]:[38:20:1]:];7.5;2;1;20;0.1;2.5;0;1.5;0;0.5;0;0.15;-6;0.8;1;16;
D;1;H;0;45;-301.04;118.96;0.395163;301.04;118.96;0.395163;5;00000000;5.58333;0.2;5;5.71667;0.716667;2.5;0;8;10;3;0.75;0.119908;0.0468452;0.0653074;5;0.61212;0.01;1;0.119908;0.05;1;0.01;0;0;19;[[45:5:1]:[45:8:1]:[45:14:2]:[45:15:1]:[45:16:1]:[45:17:1]:[45:18:2]:[45:20:1]:];9.5;2;1;20;0.1;0.5;0;1.5;0;0.5;0;0.2;-6;0.5;1.25;8;
D;1;H;0;55;-265.7;134.3;0.505457;265.7;134.3;0.505457;5;00000000;5.38306;0.2;5;5.39972;0.399722;2.5;0;8;10;3;0.75;0.0879841;0.0619587;0.107432;5;0.682596;0.01;1;0.0879841;0.05;1;0.01;0;0;20;[[55:3:1]:[55:6:1]:[55:7:1]:[55:8:1]:[55:16:2]:[55:17:1]:[55:18:1]:];10;2;1;20;0;0;0;1;0;0;0;0.15;-5.95;0.4;1.14286;7;
D;1;H;0;66;-617.7;62.3;0.100858;617.7;62.3;0.100858;5;00000000;5.93333;0.2;5;5.95;0.95;2.5;0;8;10;3;0.75;0;0.0697809;0.0578084;5;0.805239;0.01;1;0;0.05;1;0.01;0;0;20;[[66:1:1]:[66:3:1]:[66:5:1]:[66:7:1]:[66:8:1]:[66:11:1]:[66:12:1]:[66:14:1]:[66:15:1]:[66:16:1]:[66:17:1]:[66:18:1]:[66:19:1]:[66:20:2]:];10;2;1;20;0.7;0;0;1;0;0;0;0.2;-6;0.75;1.07143;14;
D;1;H;0;77;-274.9;45.1;0.16406;274.9;45.1;0.16406;5;00000000;5.66667;0.2;5;5.68333;0.683333;2.5;0;8;10;3;0.75;0.100511;0.0395048;0.0906504;5;0.826314;0.01;1;0.100511;0.05;1;0.01;0;0;10;[[77:1:1]:[77:2:1]:[77:4:1]:[77:5:1]:[77:6:1]:[77:9:1]:[77:13:1]:[77:17:1]:[77:19:1]:[77:20:1]:];5;2;1;20;0.6;5;0;1.5;0;0.5;0;0.1;-6.05;0.5;1;10;
D;1;H;0;107;-334.25;53.75;0.160808;334.25;53.75;0.160808;5;00000000;5.98333;0.2;5;6;1;2.5;1;8;10;1;0.75;0.0531507;0.0311174;0.0747917;5;0.638585;0.01;1;0.0531507;-0.95;1;0.01;0;0;13;[[107:2:1]:[107:3:1]:[107:5:1]:[107:6:1]:[107:9:1]:[107:10:1]:[107:11:1]:[107:12:1]:[107:13:1]:[107:14:1]:[107:15:1]:[107:16:1]:[107:17:1]:[107:18:1]:[107:19:1]:[107:20:1]:];6.5;2;1;20;0.6;3.5;0;1;0;0.5;0;0.1;-6;0.8;1;16;
