min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;nbVoteGraph;weightVoteGraph
4;2;32;320;0;3;0;0;0;2;10;0;3;0;0;0;18;0;0;0;0;0.0;0.0;0.0;0.0;32.0;32.0;32.0;32.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[2]];[[2]]
4;3;32;320;0;3;0;0;0;3;10;0;0;0;0;0;249;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[3]];[[3]]
4;4;32;320;0;3;0;0;0;4;10;0;0;0;0;0;248;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[4]];[[4]]
4;5;32;320;0;3;0;0;0;5;10;0;0;0;0;0;243;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[5]];[[5]]
4;6;32;320;0;3;0;0;0;6;10;0;0;0;0;0;240;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[6]];[[6]]
4;7;32;320;0;3;0;0;0;7;10;0;0;0;0;0;232;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[7]];[[7]]
4;8;32;320;0;3;0;0;0;8;10;0;0;0;0;0;231;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[8]:[8:2:1:7:26]];[[8]:[8:2:7:7:26]]
4;9;32;320;0;3;0;0;0;9;10;0;0;0;0;0;230;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[9]:[9:2:1:8]];[[9]:[9:2:2:8]]
4;10;32;320;0;3;0;0;0;10;10;0;0;0;0;0;225;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[10]:[10:root:1:6:6]:[10:root:2:7]:[10:2:1:8:18]:[10:11:1:8:15]:[10:28:1:8]:[10:42:1:8]:[10:7:1:8]];[[10]:[10:root:1:6:6]:[10:root:2:7]:[10:2:1:8:18]:[10:11:2:8:15]:[10:28:-1:8]:[10:42:-3:8]:[10:7:8:8]]
4;11;32;320;0;3;0;0;0;11;10;0;0;0;0;0;223;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[11]:[11:15:1:8]:[11:2:1:8]:[11:23:1:10:19]];[[11]:[11:15:2:8]:[11:2:2:8]:[11:23:2:10:19]]
4;12;32;320;0;3;0;0;0;12;10;0;0;0;0;0;220;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[12]];[[12]]
4;13;32;320;0;3;0;0;0;13;10;0;0;0;0;0;216;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[13]];[[13]]
4;14;32;320;0;3;0;0;0;14;10;0;0;0;0;0;146;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[14]:[14:21:1:7]:[14:7:1:12]];[[14]:[14:21:3:7]:[14:7:1:12]]
4;15;32;320;0;3;0;0;0;15;10;0;0;0;0;0;138;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[15]:[15:23:1:11]];[[15]:[15:23:2:11]]
4;16;32;320;0;3;0;0;0;16;10;0;0;0;0;0;135;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[16]:[16:root:1:7]:[16:24:1:8]:[16:19:1:11]];[[16]:[16:root:1:7]:[16:24:2:8]:[16:19:2:11]]
4;17;32;320;0;3;0;0;0;17;10;0;0;0;0;0;124;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[17]:[17:2:1:7:19]:[17:28:1:15]:[17:21:1:7]:[17:root:1:7]:[17:11:1:11:28]:[17:15:1:13]];[[17]:[17:2:2:7:19]:[17:28:-2:15]:[17:21:2:7]:[17:root:-2:7]:[17:11:2:11:28]:[17:15:2:13]]
4;18;32;320;0;3;0;0;0;18;10;0;0;0;0;0;122;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[18]];[[18]]
4;19;32;320;0;3;0;0;0;19;10;0;0;0;0;0;101;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[19]];[[19]]
4;20;32;320;0;3;0;0;0;20;10;0;0;0;0;0;74;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[20]:[20:root:1:7]:[20:11:1:9:22]:[20:42:1:10]:[20:2:1:10:23]];[[20]:[20:root:4:7]:[20:11:2:9:22]:[20:42:1:10]:[20:2:2:10:23]]
4;21;32;320;0;3;0;0;0;21;10;0;0;0;0;0;71;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[21]:[21:21:1:13]:[21:42:2:10]:[21:11:1:8]:[21:20:1:12]:[21:42:1:7:9]:[21:24:1:15]:[21:19:1:17:19]:[21:23:1:18:23]:[21:14:1:19]:[21:19:1:20:20]];[[21]:[21:21:1:13]:[21:42:5:10]:[21:11:1:8]:[21:20:1:12]:[21:42:3:7:9]:[21:24:1:15]:[21:19:1:17:19]:[21:23:-3:18:23]:[21:14:1:19]:[21:19:-2:20:20]]
