min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract
3;2;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[2]];[[2]];[[2]];[[3:1:0]:[1:2:0]:[1:3:0]:[1:4:0]:[1:5:1]:[1:6:1]:[1:7:3]:[1:8:3]:[2:9:3:[1]:5]:[6:5:9:3]:[5:9:1:3]:[2:10:3:[1]:8]:[6:8:10:3]:[5:10:1:3]:[4:7:9:3:0:11:9:7:[[3:0:-1]]]:[2:12:3:[1]:3]:[6:3:12:3]:[5:12:1:3]];2;10;0;0;0;0;0;228;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[3]];[[3]];[[3]];[];3;10;0;1;0;0;0;198;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;4;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[4]];[[4]];[[4]];[];4;10;0;0;0;0;0;180;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;5;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[5]];[[5]];[[5]];[];5;10;0;1;0;0;0;27;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;6;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[6]];[[6]];[[6]];[];6;10;0;0;0;0;0;121;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;7;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[7]:[7:5:1:3]];[[7]:[7:5:0:3]];[[7]];[];7;10;0;0;0;1;0;3;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;8;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[[8]];[[8]];[[8]];[];8;10;0;1;0;0;0;13;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;2;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[[2:13:4:[10]:8]:[6:8:13:4]:[5:13:10:4]:[4:6:12:4:0:14:12:6:[[4:0:0]]]:[4:7:10:4:1:15:10:7:[[4:1:1]]]:[2:16:4:[13]:8]:[6:8:16:4]:[5:16:13:4]:[4:6:10:4:2:17:10:6:[[4:2:1]]]:[2:18:4:[16:1]:4]:[6:4:18:4]:[5:18:16:4]:[5:18:1:4]:[2:19:4:[16]:5]:[6:5:19:4]:[5:19:16:4]:[2:20:4:[9]:8]:[6:8:20:4]:[5:20:9:4]:[4:5:18:4:2:21:18:5:[[4:2:0]]]:[2:22:4:[20]:8]:[6:8:22:4]:[5:22:20:4]:[4:4:18:4:0:23:18:4:[[4:0:1]]]:[2:24:4:[1]:7]:[6:7:24:4]:[5:24:1:4]];2;10;0;0;0;0;0;288;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;3;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];3;10;0;1;0;0;0;60;0;0;0;0;0.0;0.0;0.0;0.0;7.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[[4:4:1:4]];[[4:4:0:4]];[];[];4;10;0;1;0;1;0;0;0;0;0;0;2.0;0.0;0.0;0.0;2.0;7.0;7.0;7.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
