D;0;H;76;AgId;Money;Margin;MarginRate;NewMoney;NewMargin;NewMarginRate;m_pNbPerceivedQuality;m_pTypeAgent;m_pCurrentSeller;m_pLastListenTime;m_pLeaveAfterTime;m_pArrivalTime;m_pFinishedTime;m_pElapsedTime;m_pTotalTime;m_pMakeTrustAgreements;m_pMaxQueueLength;m_pAveragePriceMarket;m_nNbUsualSellerPerProduct;m_pSpeed;m_pNegociationPart;m_pNegotiationEvolutionSpeed;m_pProbaVisitOtherSeller;m_pCompetitorImpact;m_pRigidityFactor;m_pNbNegOtherProductsUsualSeller;m_pNbNegOtherProducts;m_pNegociationPart;m_pMinimumMargin;m_pMinNbOfVisitedSellerBeforeBuy;m_pProbChangeProductResto;m_pMarketTour;m_pMarketTourNext;m_pTotalBoughtQuantity;GraphNbVisitToday;GraphBoughtToday;m_pBoughtQuantity;m_pBasicPrice;m_pPowerQual;m_pPrixQual;m_pMinimumQuality;m_pNeededQuantity;m_pTrustAgreementQuality;m_pMarketToursToday;m_pHasTrustAgreement;m_pToNegEverywhere;m_pTrustAgreementPrice;m_pIsInPrefferedList;m_pDayOfLastTransaction;m_pNbVisitToday;m_pNbVisitTodaySup0;m_pVisitedSellers;
D;1;H;0;22;-268.26;75.74;0.282338;268.26;75.74;0.282338;5;BuyerBarbes;00000000;5.71667;0.2;5;5.73333;0.733333;2.5;0;8;10;3;0.75;0.120373;0.041806;0.124636;5;0.578277;0.01;1;0.120373;0.05;1;0.01;0;0;16;[[22:2:1]:[22:3:1]:[22:4:1]:[22:5:1]:[22:6:1]:[22:7:1]:[22:10:1]:[22:15:1]:[22:17:1]:[22:18:1]:[22:20:1]:];[[22:18:10]:[22:20:6]:];8;2;1;20;0.1;2;0;1.5;0;0.5;0;0.2;-6;0.55;1;11;
D;1;H;0;34;-346.85;93.15;0.26856;346.85;93.15;0.26856;5;BuyerBarbes;00000000;5.56667;0.2;5;5.56667;0.566667;2.5;0;8;10;3;0.75;0.0717519;0.0675236;0.099475;5;0.550538;0.01;1;0.0717519;0.05;1;0.01;0;0;20;[[34:3:1]:[34:13:1]:[34:14:1]:[34:15:1]:[34:16:1]:[34:17:2]:[34:18:1]:[34:19:1]:];[[34:14:3]:[34:17:11]:[34:18:6]:];10;2;1;20;0.1;0;0;1;0;0;0;0.15;-5.9;0.45;1.125;8;
D;1;H;0;35;-325.85;114.15;0.350315;325.85;114.15;0.350315;5;BuyerBarbes;00000000;6.05;0.2;5;6.06667;1.06667;2.5;0;8;10;3;0.75;0.0512048;0.083506;0.151161;5;0.650981;0.01;1;0.0512048;0.05;1;0.01;0;0;20;[[35:1:2]:[35:2:1]:[35:4:1]:[35:5:1]:[35:6:2]:[35:12:1]:[35:13:1]:[35:15:1]:[35:16:1]:[35:17:1]:[35:18:1]:];[[35:1:5]:[35:2:10]:[35:6:5]:];10;2;1;20;0.1;0;0;1;0;0;0;0.2;-5.95;0.65;1.18182;11;
D;1;H;0;45;-262.9;137.1;0.521491;262.9;137.1;0.521491;5;BuyerBarbes;00000000;5.16639;0.2;5;5.16639;0.166389;2.5;0;8;10;3;0.75;0.15046;0.0469164;0.104837;5;0.489065;0.01;1;0.15046;0.05;1;0.01;1;6;20;[[45:6:1]:[45:14:1]:];[[45:6:10]:[45:14:10]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.1;-6;0.1;1;2;
D;1;H;0;50;-242.66;157.34;0.648397;242.66;157.34;0.648397;5;BuyerBarbes;00000000;5.41639;0.2;5;5.41639;0.416389;2.5;0;8;10;3;0.75;0.133259;0.0261549;0.0972106;5;0.491399;0.01;1;0.133259;0.05;1;0.01;0;0;20;[[50:6:2]:[50:9:1]:[50:11:1]:[50:15:1]:[50:16:2]:];[[50:6:2]:[50:15:10]:[50:16:8]:];10;2;1;20;0;0;0;0.5;0;0;0;0.15;-6;0.35;1.4;5;
D;1;H;0;53;-251.46;148.54;0.59071;251.46;148.54;0.59071;5;BuyerBarbes;00000000;5.3;0.2;5;5.3;0.3;2.5;0;8;10;3;0.75;0.240733;0.0673892;0.0724496;5;0.631282;0.01;1;0.240733;0.05;1;0.01;1;16;20;[[53:15:1]:[53:16:1]:[53:17:1]:[53:18:1]:];[[53:15:10]:[53:16:4]:[53:18:6]:];10;2;1;20;0;0;0;0.5;0;0.5;0;0.15;-6;0.2;1;4;
D;1;H;0;58;-270;130;0.481481;270;130;0.481481;5;BuyerBarbes;00000000;5.21639;0.2;5;5.21639;0.216389;2.5;0;8;10;3;0.75;0.162935;0.0541678;0.072199;5;0.533768;0.01;1;0.162935;0.05;1;0.01;1;1;20;[[58:1:1]:[58:2:1]:[58:5:1]:];[[58:1:10]:[58:2:10]:];10;2;1;20;0;0;0;1;0;1;0;0.15;-6;0.15;1;3;
D;1;H;0;67;-733.88;0;0;733.88;0;0;5;BuyerNeuilly;00000000;5.81667;0.2;5;5.88333;0.883333;2.5;0;8;10;3;0.75;0.0654558;0.0277109;0.10193;5;0.6851;0.01;1;0.0654558;0.05;1;0.01;1;17;32;[[67:1:1]:[67:3:1]:[67:5:1]:[67:6:1]:[67:7:1]:[67:9:1]:[67:11:1]:[67:13:1]:[67:14:1]:[67:15:1]:[67:17:1]:[67:18:1]:[67:19:1]:[67:20:1]:];[[67:5:10]:[67:15:12]:[67:17:6]:[67:19:4]:];11.5;2;1;20;0.7;-1.5;0;1;0;0.5;0;0.25;-6;0.7;1;14;
D;1;H;0;68;-337.8;22.2;0.0657194;337.8;22.2;0.0657194;5;BuyerNeuilly;00000000;5.63333;0.2;5;5.65;0.65;2.5;0;8;10;3;0.75;0.111199;0.0540459;0.0554464;5;0.821794;0.01;1;0.111199;0.05;1;0.01;0;0;10;[[68:2:1]:[68:5:1]:[68:6:1]:[68:13:1]:[68:14:1]:[68:16:1]:[68:17:1]:[68:19:1]:[68:20:1]:];[[68:2:10]:];5;2;1;20;0.6;5;0;1.5;0;0.5;0;0.1;-6.05;0.45;1;9;
D;1;H;0;71;-580.3;59.7;0.102878;580.3;59.7;0.102878;5;BuyerNeuilly;00000000;5.23333;0.2;5;5.23333;0.233333;2.5;0;8;10;3;0.75;0.0916866;0.0485568;0.069498;5;0.72598;0.01;1;0.0916866;0.05;1;0.01;1;7;20;[[71:7:1]:[71:8:1]:[71:9:1]:[71:10:1]:];[[71:7:10]:[71:8:10]:];10;2;1;20;0.6;0;0;0.5;0;0.5;0;0.1;-6;0.2;1;4;
