min;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCommentsMean;ideaParentVotesMean;ideaSameOwnerParents;childrens
2;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;0
3;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;8
3;34;2;186;1;1;0;0;0;0;0;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;2
3;36;2;198;1;1;0;0;0;0;0;0;0;0;0;0;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
3;40;19;221;1;1;0;0;0;0;0;0;0;0;0;0;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;42;20;222;1;1;0;0;0;0;0;0;0;0;0;0;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
3;43;14;224;2;2;0;4;0;0;0;0;0.833333333333333;4;7;7;44;0;2;0;0;0;0;0;0;0;0;0;0
3;45;21;234;2;2;0;0;0;0;0;0;0;0;0;0;6;21;2;0;0;0;0;0;0;0;0;0;0
4;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;11
4;34;2;186;1;1;0;0;0;0;0;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;3
4;36;2;198;1;1;0;0;0;0;0;0;0;0;0;0;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
4;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
4;40;19;221;1;1;0;1;0;0;0;0;0.0294117647058824;1;2;2;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;42;20;222;1;1;0;0;0;0;0;0;0;0;0;0;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;43;14;224;2;2;0;15;1;0;0.0664567458685105;0;0.933543254131489;13;36;36;44;0;2;0;0;0;0;0;0;0;0;0;0
4;45;21;234;2;2;0;6;0;0;0;0;0.882352941176471;6;13;13;6;21;2;0;0;0;0;0;0;0;0;0;0
4;49;3;240;2;2;0;5;0;0;0;0;0.705882352941177;5;13;13;10;51;2;0;0;0;0;0;0;0;0;0;0
4;57;18;253;1;1;0;0;0;0;0;0;0;0;0;0;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
4;58;7;254;1;1;0;2;1;0;0.38;0;0.46;1;5;5;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
4;63;9;263;2;2;0;4;1;0;0.179166666666667;0;0.420833333333333;3;5;5;7;74;2;0;0;0;0;0;0;0;0;0;0
4;82;29;294;1;1;0;0;0;0;0;0;0;0;0;0;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
5;0;0;0;0;0;1;0;0;0;0;0.5;0.5;1;1;15;0;0;0;0;0;0;0;0;0;0;0;11;0
5;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;11
5;2;198;1;1;0;0;0;0;0;0;0;0;0;0;24;0;2;0;1;1;1;1;1;1151022631;0.5;575511315.5;3;0
5;34;2;186;1;1;0;0;0;0;0;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;5
5;36;2;198;1;1;0;1;0;0;0;0;0.37037037037037;1;2;2;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
5;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
5;40;19;221;1;1;0;2;0;0;0;0;1;2;4;4;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;42;20;222;1;1;0;0;0;0;0;0;0;0;0;0;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;43;14;224;2;2;0;18;1;0;0.0585148874364561;0;0.941485112563543;16;38;38;44;0;2;0;0;0;0;0;0;0;0;0;0
5;45;21;234;2;2;0;7;0;0;0;0;1;7;17;17;6;21;2;0;0;0;0;0;0;0;0;0;1
5;49;3;240;2;2;0;13;0;0;0;0;1;13;31;31;10;51;2;0;0;0;0;0;0;0;0;0;1
5;57;18;253;1;1;0;0;0;0;0;0;0;0;0;0;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
5;58;7;254;1;1;0;4;1;0;0.358024691358025;0;0.641975308641975;3;8;8;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
5;63;9;263;2;2;0;5;1;1;0.212962962962963;0.148148148148148;0.638888888888889;3;3;5;7;74;2;0;0;0;0;0;0;0;0;0;0
5;82;29;294;1;1;0;1;0;0;0;0;0.62962962962963;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
5;85;10;300;3;3;0;1;0;0;0;0;0.666666666666667;1;2;2;33;0;2;7;6;7;7;6;7;3.5;3.5;0;0
5;91;27;318;3;3;0;4;0;0;0;0;0.590909090909091;1;6;6;14;0;2;13;8;13;13;8;13;6.5;6.5;0;0
5;94;16;321;2;2;0;0;0;0;0;0;0;0;0;0;19;0;2;0;0;0;0;0;0;0;0;0;0
5;104;68;340;2;2;0;1;0;0;0;0;0.555555555555556;1;1;1;7;21;2;0;0;0;0;0;0;0;0;0;0
6;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;12
6;34;2;186;1;1;0;0;0;0;0;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;5
6;36;2;198;1;1;0;3;0;1;0;0.0937499999999999;0.906249999999999;2;3;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
6;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
6;40;19;221;1;1;0;5;0;0;0;0;1;5;10;10;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;42;20;222;1;1;0;1;0;1;0;0.0625;0;0;0;0;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;43;14;224;2;2;0;19;1;0;0.0528143274853801;0;0.947185672514619;17;40;40;44;0;2;0;0;0;0;0;0;0;0;0;0
6;45;21;234;2;2;0;9;0;0;0;0;1;9;25;25;6;21;2;0;0;0;0;0;0;0;0;0;1
6;49;3;240;2;2;0;21;0;0;0;0;1;21;51;51;10;51;2;0;0;0;0;0;0;0;0;0;1
6;57;18;253;1;1;0;2;0;0;0;0;0.59375;2;6;6;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
6;58;7;254;1;1;0;7;1;0;0.180654761904762;0;0.819345238095238;6;15;15;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;63;9;263;2;2;0;5;1;1;0.2;0.2;0.6;3;3;5;7;74;2;0;0;0;0;0;0;0;0;0;0
6;82;29;294;1;1;0;1;0;0;0;0;1;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
6;85;10;300;3;3;0;1;0;0;0;0;1;1;2;2;33;0;2;9;6;9;9;6;9;4.5;4.5;0;1
6;91;27;318;3;3;0;4;0;0;0;0;1;1;6;6;14;0;2;21;8;21;21;8;21;10.5;10.5;0;1
6;94;16;321;2;2;0;2;0;0;0;0;0.90625;2;4;4;19;0;2;0;0;0;0;0;0;0;0;0;0
6;104;68;340;2;2;0;5;1;0;0.090625;0;0.909375;4;6;6;7;21;2;0;0;0;0;0;0;0;0;0;0
6;132;19;403;1;1;0;1;0;0;0;0;0.307692307692308;1;4;4;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
6;134;35;407;4;4;0;0;0;0;0;0;0;0;0;0;31;0;2;4;4;4;1;1;1;2;0.5;0;0
6;144;68;419;4;4;0;0;0;0;0;0;0;0;0;0;7;41;2;1;1;1;1;1;1;0.5;0.5;0;0
7;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;12
7;34;2;186;1;1;0;0;0;0;0;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;5
7;36;2;198;1;1;0;4;0;1;0;0.283333333333333;0.716666666666666;3;3;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
7;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
7;40;19;221;1;1;0;7;0;0;0;0;1;7;11;11;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;42;20;222;1;1;0;3;1;1;0.191666666666667;0.791666666666667;0.0166666666666666;1;1;1;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;43;14;224;2;2;0;19;1;0;0.0526315789473684;0;0.94736842105263;17;40;40;44;0;2;0;0;0;0;0;0;0;0;0;0
7;45;21;234;2;2;0;11;0;0;0;0;1;11;25;25;6;21;2;0;0;0;0;0;0;0;0;0;1
7;49;3;240;2;2;0;23;0;0;0;0;1;23;57;57;10;51;2;0;0;0;0;0;0;0;0;0;1
7;57;18;253;1;1;0;2;0;0;0;0;1;2;3;6;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
7;58;7;254;1;1;0;10;2;0;0.154325396825397;0;0.845674603174603;8;15;15;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;63;9;263;2;2;0;6;1;1;0.191666666666667;0.191666666666667;0.616666666666666;4;3;5;7;74;2;0;0;0;0;0;0;0;0;0;0
7;82;29;294;1;1;0;1;0;0;0;0;1;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
7;85;10;300;3;3;0;3;0;1;0;0.375;0.625;2;2;2;33;0;2;11;6;11;11;6;11;5.5;5.5;0;1
7;91;27;318;3;3;0;4;0;0;0;0;1;1;6;6;14;0;2;23;8;23;23;8;23;11.5;11.5;0;1
7;94;16;321;2;2;0;2;0;0;0;0;1;2;4;4;19;0;2;0;0;0;0;0;0;0;0;0;0
7;104;68;340;2;2;0;5;1;0;0.2;0;0.8;4;6;6;7;21;2;0;0;0;0;0;0;0;0;0;0
7;132;19;403;1;1;0;2;0;0;0;0;1;2;5;5;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
7;134;35;407;4;4;0;4;0;1;0;0.208333333333333;0.741666666666666;1;2;2;31;0;2;4;4;4;1;1;1;2;0.5;0;0
7;144;68;419;4;4;0;0;0;0;0;0;0;0;0;0;7;41;2;3;1;3;2;1;2;1.5;1;0;0
8;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;13
8;34;2;186;1;1;0;1;1;0;0.136363636363636;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;5
8;36;2;198;1;1;0;4;0;1;0;0.25;0.75;3;1;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
8;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
8;40;19;221;1;1;0;7;0;0;0;0;1;7;10;11;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;42;20;222;1;1;0;6;1;3;0.239393939393939;0.513636363636364;0.246969696969697;2;2;2;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;43;14;224;2;2;0;21;2;0;0.0754499886078833;0;0.924550011392116;18;40;40;44;0;2;1;0;1;0;0;0;0.5;0;0;0
8;45;21;234;2;2;0;14;0;0;0;0;1;14;22;25;6;21;2;1;0;1;0;0;0;0.5;0;0;1
8;49;3;240;2;2;0;26;0;0;0;0;1;26;65;65;10;51;2;1;0;1;0;0;0;0.5;0;0;1
8;57;18;253;1;1;0;2;0;0;0;0;1;2;3;6;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
8;58;7;254;1;1;0;14;2;0;0.156555565646474;0;0.843444434353525;12;17;17;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;63;9;263;2;2;0;6;1;1;0.166666666666666;0.166666666666666;0.666666666666666;4;1;5;7;74;2;0;0;0;0;0;0;0;0;0;0
8;82;29;294;1;1;0;1;0;0;0;0;1;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
8;85;10;300;3;3;0;3;0;1;0;0.333333333333333;0.666666666666666;2;1;2;33;0;2;14;6;14;14;6;14;7;7;0;1
8;91;27;318;3;3;0;4;0;0;0;0;1;1;6;6;14;0;2;26;8;26;26;8;26;13;13;0;1
8;94;16;321;2;2;0;3;0;0;0;0;1;3;6;6;19;0;2;1;0;1;0;0;0;0.5;0;0;0
8;104;68;340;2;2;0;6;1;0;0.184848484848485;0;0.815151515151515;4;6;6;7;21;2;1;0;1;0;0;0;0.5;0;0;0
8;132;19;403;1;1;0;3;0;0;0;0;1;3;6;6;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
8;134;35;407;4;4;0;6;0;1;0;0.182575757575757;0.817424242424242;3;3;3;31;0;2;4;4;4;1;1;1;2;0.5;0;0
8;144;68;419;4;4;0;0;0;0;0;0;0;0;0;0;7;41;2;3;1;3;2;1;2;1.5;1;0;0
8;184;13;532;1;1;0;0;0;0;0;0;0;0;0;0;7;59;2;1;1;1;1;1;1;0.5;0.5;0;0
9;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;13
9;34;2;186;1;1;0;1;1;0;1;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;6
9;36;2;198;1;1;0;5;0;1;0;0.213636363636364;0.786363636363636;4;1;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
9;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
9;40;19;221;1;1;0;7;0;0;0;0;1;7;10;11;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;42;20;222;1;1;0;6;1;3;0.166666666666666;0.5;0.333333333333333;2;2;2;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;43;14;224;2;2;0;21;2;0;0.0952380952380952;0;0.904761904761904;18;39;40;44;0;2;1;0;1;0;0;0;0.5;0;0;1
9;45;21;234;2;2;0;14;0;0;0;0;1;14;19;25;6;21;2;1;0;1;0;0;0;0.5;0;0;1
9;49;3;240;2;2;0;26;0;0;0;0;1;26;65;65;10;51;2;1;0;1;0;0;0;0.5;0;0;1
9;57;18;253;1;1;0;2;0;0;0;0;1;2;3;6;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
9;58;7;254;1;1;0;14;2;0;0.142857142857142;0;0.857142857142857;12;14;17;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;63;9;263;2;2;0;6;1;1;0.166666666666666;0.166666666666666;0.666666666666666;4;1;5;7;74;2;0;0;0;0;0;0;0;0;0;0
9;82;29;294;1;1;0;1;0;0;0;0;1;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
9;85;10;300;3;3;0;3;0;1;0;0.333333333333333;0.666666666666666;2;1;2;33;0;2;14;6;14;14;6;14;7;7;0;1
9;91;27;318;3;3;0;4;0;0;0;0;1;1;6;6;14;0;2;26;8;26;26;8;26;13;13;0;1
9;94;16;321;2;2;0;3;0;0;0;0;1;3;6;6;19;0;2;1;0;1;0;0;0;0.5;0;0;0
9;104;68;340;2;2;0;6;1;0;0.166666666666666;0;0.833333333333333;4;6;6;7;21;2;1;0;1;0;0;0;0.5;0;0;0
9;132;19;403;1;1;0;3;0;0;0;0;1;3;6;6;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
9;134;35;407;4;4;0;6;0;1;0;0.166666666666666;0.833333333333333;3;3;3;31;0;2;4;4;4;1;1;1;2;0.5;0;0
9;144;68;419;4;4;0;0;0;0;0;0;0;0;0;0;7;41;2;3;1;3;2;1;2;1.5;1;0;0
9;184;13;532;1;1;0;4;1;0;0.28030303030303;0;0.628787878787879;4;9;9;7;59;2;1;1;1;1;1;1;0.5;0.5;0;0
9;189;28;546;3;3;0;1;0;0;0;0;0.363636363636364;0;0;0;15;10;2;21;21;21;18;18;18;10.5;9;0;1
9;195;14;577;4;4;0;1;0;0;0;0;0.333333333333333;0;0;0;39;0;2;1;0;1;0;0;0;0.5;0;0;0
9;196;68;579;2;2;0;1;0;0;0;0;0.2;1;2;2;7;34;2;1;1;1;0;0;0;0.5;0;0;0
10;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;13
10;34;2;186;1;1;0;1;1;0;1;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;6
10;36;2;198;1;1;0;5;0;1;0;0.2;0.8;4;0;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;1
10;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
10;39;13;220;1;1;0;0;0;0;0;0;0;0;0;0;6;13;2;1;1;1;1;1;1;0.5;0.5;0;0
10;40;19;221;1;1;0;7;0;0;0;0;1;7;10;11;29;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;41;7;221;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;42;20;222;1;1;0;7;1;3;0.144957983193276;0.434873949579832;0.420168067226891;3;2;2;22;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;43;14;224;2;2;0;23;2;0;0.0935219937777482;0;0.906478006222251;20;39;40;44;0;2;1;0;1;0;0;0;0.5;0;0;1
10;45;21;234;2;2;0;17;0;0;0;0;1;17;20;25;6;21;2;1;0;1;0;0;0;0.5;0;0;1
10;49;3;240;2;2;0;26;0;0;0;0;1;26;65;65;10;51;2;1;0;1;0;0;0;0.5;0;0;1
10;57;18;253;1;1;0;2;0;0;0;0;1;2;3;6;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
10;58;7;254;1;1;0;15;2;0;0.137815126050419;0;0.86218487394958;13;16;17;26;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;63;9;263;2;2;0;7;1;1;0.163165266106442;0.163165266106442;0.673669467787114;5;1;5;7;74;2;0;0;0;0;0;0;0;0;0;0
10;82;29;294;1;1;0;1;0;0;0;0;1;1;1;1;7;23;2;1;1;1;1;1;1;0.5;0.5;0;0
10;85;10;300;3;3;0;4;0;1;0;0.267156862745098;0.732843137254902;3;1;2;33;0;2;17;6;17;17;6;17;8.5;8.5;0;1
10;91;27;318;3;3;0;4;0;0;0;0;1;1;6;6;14;0;2;26;8;26;26;8;26;13;13;0;1
10;94;16;321;2;2;0;3;0;0;0;0;1;3;6;6;19;0;2;1;0;1;0;0;0;0.5;0;0;0
10;104;68;340;2;2;0;6;1;0;0.166666666666666;0;0.833333333333332;4;6;6;7;21;2;1;0;1;0;0;0;0.5;0;0;0
10;132;19;403;1;1;0;3;0;0;0;0;1;3;6;6;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
10;134;35;407;4;4;0;9;0;1;0;0.146650326797385;0.853349673202615;6;3;3;31;0;2;4;4;4;1;1;1;2;0.5;0;0
10;144;68;419;4;4;0;0;0;0;0;0;0;0;0;0;7;41;2;4;1;4;3;1;3;2;1.5;0;0
10;184;13;532;1;1;0;4;1;0;0.25;0;0.75;4;9;9;7;59;2;1;1;1;1;1;1;0.5;0.5;0;0
10;189;28;546;3;3;0;1;0;0;0;0;1;0;0;0;15;10;2;23;21;23;20;18;20;11.5;10;0;2
10;195;14;577;4;4;0;8;0;0;0;0;1;6;10;10;39;0;2;1;0;1;0;0;0;0.5;0;0;0
10;196;68;579;2;2;0;10;0;2;0;0.124859943977591;0.875140056022409;8;10;10;7;34;2;1;1;1;0;0;0;0.5;0;0;0
10;214;18;615;2;2;0;2;0;0;0;0;0.590909090909091;2;4;4;53;0;2;0;0;0;0;0;0;0;0;0;0
10;222;35;634;4;4;0;2;0;1;0;0.142857142857143;0.0714285714285714;1;2;2;23;0;2;1;1;1;0;0;0;0.5;0;0;0
11;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;15;0;0;0;-1;0;0;-1;0;0;0;0;13
11;19;2;8;2;0;10;3;7;0;0;0;0;17;60;-1.8;3.93479853479853;4;19;0;0;0;0;0;0;0;0;0;0
11;34;2;186;1;1;0;1;1;0;1;0;0;0;0;0;19;0;2;1;1;1;1;1;1;0.5;0.5;0;6
11;36;2;198;1;1;0;5;0;1;0;0.2;0.8;4;0;3;24;0;2;1;1;1;1;1;1;0.5;0.5;0;0
11;37;2;209;1;1;0;0;0;0;0;0;0;0;0;0;23;0;2;1;1;1;1;1;1;0.5;0.5;0;1
11;38;2;217;1;1;0;0;0;0;0;0;0;0;0;0;26;0;2;1;1;1;1;1;1;0.5;0.5;0;1
