min;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaSameOwnerParents;childrens
-1;8;412;1;1;0;4;2;0;0.5;0;0.5;4;7;7;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;0
0;8;412;1;1;0;4;2;0;0.5;0;0.5;4;7;7;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;0
0;7;416;1;1;2;2;0;0;0;0;1;2;3;3;34;65;2;0;0;0;4;3;4;4;3;4;0;2;2;0;0
0;10;455;1;1;1;4;1;0;0.25;0;0.75;4;11;12;20;35;2;0;0;0;4;3;4;4;3;4;0;2;2;0;1
0;9;516;2;2;2;1;1;0;1;0;0;1;3;3;25;48;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
0;7;526;1;2;2;0;0;0;0;0;0;0;0;0;25;0;4;0;0;0;8;4;4;8;4;4;0;2;2;0;0
0;2;583;2;2;0;1;1;0;1;0;0;1;5;5;42;0;2;1;1;1;3;2;3;3;2;3;0.5;1.5;1.5;0;0
0;10;589;1;1;2;1;0;0;0;0;1;1;2;2;14;86;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
1;8;412;1;1;0;4;2;0;0.5;0;0.5;4;7;7;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;0
1;7;416;1;1;2;2;0;0;0;0;1;2;3;3;34;65;2;0;0;0;4;3;4;4;3;4;0;2;2;0;0
1;10;455;1;1;1;5;1;0;0.2;0;0.8;5;8;12;20;35;2;0;0;0;4;3;4;4;3;4;0;2;2;0;1
1;9;516;2;2;2;1;1;0;1;0;0;1;3;3;25;48;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
1;7;526;1;2;2;0;0;0;0;0;0;0;0;0;25;0;4;0;0;0;8;4;4;8;4;4;0;2;2;0;0
1;2;583;2;2;0;5;1;0;0.2;0;0.8;5;9;9;42;0;2;1;1;1;5;2;5;5;2;5;0.5;2.5;2.5;0;1
1;10;589;1;1;2;3;0;0;0;0;1;2;5;5;14;86;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
1;9;623;3;3;1;5;1;2;0.2;0.4;0.4;2;3;3;10;88;2;0;0;0;5;2;5;5;2;5;0;2.5;2.5;0;0
1;9;750;1;1;1;1;1;0;1;0;0;1;5;5;7;67;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
1;7;818;2;3;3;0;0;0;0;0;0;0;0;0;26;46;6;5;1;2;3;0;2;3;0;2;0.833333333333333;0.5;0.5;2;0
1;10;853;1;2;2;0;0;0;0;0;0;0;0;0;11;60;4;1;0;1;5;1;4;5;1;4;0.25;1.25;1.25;0;0
2;8;412;1;1;0;5;2;0;0.4;0;0.6;5;6;7;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;2
2;7;416;1;1;2;2;0;0;0;0;1;2;3;3;34;65;2;0;0;0;4;3;4;4;3;4;0;2;2;0;0
2;10;455;1;1;1;5;1;0;0.2;0;0.8;5;8;12;20;35;2;0;0;0;4;3;4;4;3;4;0;2;2;0;1
2;9;516;2;2;2;1;1;0;1;0;0;1;3;3;25;48;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
2;7;526;1;2;2;0;0;0;0;0;0;0;0;0;25;0;4;0;0;0;8;4;4;8;4;4;0;2;2;0;0
2;2;583;2;2;0;6;1;0;0.166666666666666;0;0.833333333333333;6;7;9;42;0;2;1;1;1;5;2;5;5;2;5;0.5;2.5;2.5;0;1
2;10;589;1;1;2;3;0;0;0;0;1;2;5;5;14;86;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
2;9;623;3;3;1;5;1;2;0.2;0.4;0.4;2;3;3;10;88;2;0;0;0;5;2;5;5;2;5;0;2.5;2.5;0;0
2;9;750;1;1;1;4;2;0;0.5;0;0.5;4;3;5;7;67;2;0;0;0;4;4;4;4;4;4;0;2;2;0;2
2;7;818;2;3;3;2;0;0;0;0;1;1;1;1;26;46;6;5;1;2;5;0;3;5;0;3;0.833333333333333;0.833333333333333;0.833333333333333;2;0
2;10;853;1;2;2;1;0;0;0;0;1;1;2;2;11;60;4;1;0;1;6;1;4;6;1;4;0.25;1.5;1.5;0;0
2;2;922;2;3;1;2;1;0;0.5;0;0.5;2;5;5;55;0;2;2;2;2;1;1;1;1;1;1;1;0.5;0.5;0;0
2;9;955;1;1;1;0;0;0;0;0;0;0;0;0;7;52;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
2;7;1002;1;2;3;1;0;0;0;0;1;1;1;1;58;49;4;1;0;1;9;4;5;9;4;5;0.25;2.25;2.25;0;0
3;8;412;1;1;0;6;2;0;0.333333333333333;0;0.666666666666666;6;8;8;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;2
3;7;416;1;1;2;2;0;0;0;0;1;2;3;3;34;65;2;0;0;0;4;3;4;4;3;4;0;2;2;0;0
3;10;455;1;1;1;6;1;0;0.166666666666666;0;0.833333333333333;6;7;12;20;35;2;0;0;0;4;3;4;4;3;4;0;2;2;0;2
3;9;516;2;2;2;1;1;0;1;0;0;1;3;3;25;48;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
3;7;526;1;2;2;0;0;0;0;0;0;0;0;0;25;0;4;0;0;0;8;4;4;8;4;4;0;2;2;0;0
3;2;583;2;2;0;6;1;0;0.166666666666666;0;0.833333333333333;6;7;9;42;0;2;1;1;1;5;2;5;5;2;5;0.5;2.5;2.5;0;1
3;10;589;1;1;2;4;0;0;0;0;1;3;3;5;14;86;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
3;9;623;3;3;1;7;1;2;0.142857142857142;0.285714285714285;0.571428571428571;2;3;3;10;88;2;0;0;0;6;2;6;6;2;6;0;3;3;0;0
3;9;750;1;1;1;4;2;0;0.5;0;0.5;4;3;5;7;67;2;0;0;0;4;4;4;4;4;4;0;2;2;0;2
3;7;818;2;3;3;2;0;0;0;0;1;1;1;1;26;46;6;5;1;2;5;0;3;5;0;3;0.833333333333333;0.833333333333333;0.833333333333333;2;0
3;10;853;1;2;2;2;0;0;0;0;1;2;3;3;11;60;4;1;0;1;8;1;4;8;1;4;0.25;2;2;0;2
3;2;922;2;3;1;2;1;0;0.5;0;0.5;2;5;5;55;0;2;2;2;2;1;1;1;1;1;1;1;0.5;0.5;0;0
3;9;955;1;1;1;1;0;0;0;0;1;0;0;0;7;52;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
3;7;1002;1;2;3;2;1;0;0.5;0;0.5;1;1;1;58;49;4;1;0;1;10;4;6;10;4;6;0.25;2.5;2.5;0;0
3;10;1137;1;3;2;1;0;1;0;1;0;0;0;0;12;31;6;3;0;2;9;1;4;9;1;4;0.5;1.5;1.5;1;0
3;9;1240;1;1;0;1;1;0;1;0;0;1;1;1;17;79;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
4;8;412;1;1;0;8;2;0;0.25;0;0.75;8;11;11;22;65;2;0;0;0;4;1;4;4;1;4;0;2;2;0;2
4;7;416;1;1;2;4;0;1;0;0.25;0.75;2;3;3;34;65;2;0;0;0;4;3;4;4;3;4;0;2;2;0;1
4;10;455;1;1;1;7;1;0;0.142857142857142;0;0.857142857142857;7;6;12;20;35;2;0;0;0;4;3;4;4;3;4;0;2;2;0;2
4;9;516;2;2;2;2;2;0;1;0;0;2;4;4;25;48;2;0;0;0;8;4;8;8;4;8;0;4;4;0;0
4;7;526;1;2;2;0;0;0;0;0;0;0;0;0;25;0;4;0;0;0;8;4;4;8;4;4;0;2;2;0;0
4;2;583;2;2;0;6;1;0;0.166666666666666;0;0.833333333333333;6;7;9;42;0;2;1;1;1;5;2;5;5;2;5;0.5;2.5;2.5;0;1
4;10;589;1;1;2;6;1;0;0.166666666666666;0;0.833333333333333;5;5;5;14;86;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
4;9;623;3;3;1;7;1;2;0.142857142857142;0.285714285714285;0.571428571428571;2;3;3;10;88;2;0;0;0;6;2;6;6;2;6;0;3;3;0;0
4;9;750;1;1;1;4;2;0;0.5;0;0.5;4;3;5;7;67;2;0;0;0;4;4;4;4;4;4;0;2;2;0;2
4;7;818;2;3;3;2;0;0;0;0;1;1;1;1;26;46;6;5;1;2;5;0;3;5;0;3;0.833333333333333;0.833333333333333;0.833333333333333;2;0
4;10;853;1;2;2;2;0;0;0;0;1;2;3;3;11;60;4;1;0;1;8;1;4;8;1;4;0.25;2;2;0;2
4;2;922;2;3;1;4;1;1;0.25;0.25;0.5;3;3;5;55;0;2;2;2;2;2;1;2;2;1;2;1;1;1;0;0
4;9;955;1;1;1;3;1;0;0.333333333333333;0;0.666666666666666;1;2;2;7;52;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
4;7;1002;1;2;3;2;1;0;0.5;0;0.5;1;1;1;58;49;4;1;0;1;10;4;6;10;4;6;0.25;2.5;2.5;0;0
4;10;1137;1;3;2;2;0;1;0;0.5;0.5;0;0;0;12;31;6;3;0;2;10;1;4;10;1;4;0.5;1.66666666666666;1.66666666666666;1;0
4;9;1240;1;1;0;1;1;0;1;0;0;1;1;1;17;79;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
5;9;1240;1;1;0;1;1;0;1;0;0;1;1;1;17;79;2;0;0;0;4;4;4;4;4;4;0;2;2;0;0
