time;playerId;NbActivity;MoytotalRemainingTokens;MoytotalUsedTokens;MoytotalIdeas;MoytotalItems;MoytotalComments;Somme de playerRemainingTokens;MoyplayerUsedTokens;MoyplayerIdeas;MoyplayerItems;MoyplayerComments;MoyplayerTimeSinceAction;MoyplayerVotes;MoyplayerBestIdeaScore;MoyplayerItemUsage;MoyplayerIdeaUsage;MoyplayerCommentUsage;Moyplayercréativité;Moyplayerpertinence;Moyplayerpersuasion;Moyplayeradaptation;Moyrankcréativité;Moyrankpertinence;Moyrankpersuasion;Moyrankadaptation;NbitemCreationTime;NbideaOwnerId;MoyideaCreationTime;MoyideaDepthMin;MoyideaDepthMax;MoyideaItems;MoyideaComments;MoyPositiveComments;MoyNegativeComments;MoyPositiveProportion;MoyNegativeProportion;MoyNulProportion;MoyideaVotes;MoyideaTokens;MoyideaShortLength;MoyideaLongLength;MoyideaTokensMax;MoyideaParentItems;MoyideaParentItemsMin;MoyideaParents;MoyideaParentItemsMax;MoyideaParentComments;MoyideaParentCommentsMin;MoyideaParentCommentsMax;MoyideaParentVotes;MoyideaParentVotesMin;MoyideaParentVotesMax;MoyideaParentItemMean;MoyideaParentCommentsMean;MoyideaParentVotesMean;MoyideaSameOwnerParents;Moychildrens;MoycommentCreationTime;MoycommentSize;MoycommentRank;MoyvoteTokens;MoyvoteValence
0;2;4;36;24;6.25;7;14;5;8.75;0.75;4;1.75;142;1.75;1.25;5;0;0;0;0;0;0;6;6;6;6;4;4;519;1.5;1.5;0.5;1.5;0.75;0;0.458333333333333;0;0.291666666666667;1.5;6;31;17.5;7.25;0.5;0.5;2;0.5;3.25;2.5;3.25;3.25;2.5;3.25;0.25;1.625;1.625;0;0.25;444.25;2.5;0;2.5;0.5
0;7;4;55.25;4.75;2.25;5.25;4.75;38;0.5;1;1;0.5;85.75;0.5;0;1;0;0;0.75;1;0.75;0;5;5;4.75;6;4;4;338.5;0.75;1;1;0.5;0.25;0;0.125;0;0.125;0.5;0.75;20.25;32.5;0.75;0;0;2;0;3.5;2;2.5;3.5;2;2.5;0;1.25;1.25;0;0;112.5;8.75;0;0.25;0.25
0;8;3;47.6666666666667;12.3333333333333;3;5.66666666666667;8;25;1.66666666666667;1;0;1;94.6666666666667;1;0;0;0.666666666666667;0;4;0;0;0;3;6;6;6;3;3;448;1.33333333333333;1.33333333333333;1.33333333333333;1;0.333333333333333;0;0.333333333333333;0;0.333333333333333;1;2;27;59.3333333333333;2;0;0;2;0;3;2.66666666666667;3;3;2.66666666666667;3;0;1.5;1.5;0;0;352.333333333333;12.6666666666667;0;1.33333333333333;0.333333333333333
0;9;8;55.25;4.75;2.125;5.25;5.5;58;2.75;0.125;0.25;4.125;29.5;4.125;0;0.125;0;0;0;2;0.25;0.75;6;3.875;5.5;4.25;8;8;167.5;0.5;0.5;0.25;1.75;0.25;0.5;0.0833333333333332;0.260416666666667;0.40625;1.75;1.375;29.625;22.25;1.875;0;-0.5;0.75;0;1.375;0.25;1.375;1.375;0.25;1.375;0;0.6875;0.6875;0;0.625;320.25;6.125;0;0.5;0
0;10;6;45.8333333333333;14.1666666666667;4.33333333333333;5.83333333333333;10;34;4.33333333333333;1.33333333333333;0;2.16666666666667;38.3333333333333;2.16666666666667;1.33333333333333;0;0.333333333333333;0;3.33333333333333;7.66666666666667;0;1.5;4.33333333333333;3.83333333333333;6;3.5;6;6;486;1;1;1.33333333333333;1.16666666666667;0.333333333333333;0;0.0833333333333333;0;0.583333333333333;1.16666666666667;2.16666666666667;20.6666666666667;62;2.16666666666667;0;0;2;0;3.83333333333333;3;3.83333333333333;3.83333333333333;3;3.83333333333333;0;1.91666666666667;1.91666666666667;0;0;349;0;0;1.33333333333333;0
0;11;2;38.5;21.5;6;7;14;16;2;0;1;0.5;123.5;0.5;0;0;0;0;0;0;0;1;6;6;6;4.5;2;2;227.5;0.5;0.5;0.5;2;0.5;0;0.125;0;0.375;2;5.5;10;17.5;6;0;0;1;0;2;1.5;2;2;1.5;2;0;1;1;0;0.5;307;0;0;2;0
1;2;4;26;34;8.25;7;23.25;12;7;1;4;5.5;39.75;5;5;7.25;1;0;4;23;4.58333333333333;0;4.25;1.75;1;6;4;4;602.75;1.75;1.75;0.75;3;1;0.5;0.466666666666667;0.166666666666666;0.366666666666666;2.5;4.75;19.75;47.5;6.25;0.25;0.25;2;0.25;4.25;2.75;4.25;4.25;2.75;4.25;0.125;2.125;2.125;0;0.5;692;13.25;0;0;0
1;7;2;20.5;39.5;9;7;27;16;2;2.5;1;2;146;2;0;2.5;1;0;3;5;3.25;0;5;4;2;5.5;2;2;720.5;2.5;3;2;0.5;0.5;0;0.5;0;0;0.5;0.5;18;67;0.5;2.5;0.5;4;1;4;1;3.5;4;1;3.5;0.416666666666667;1.5;1.5;1;0;342;25.5;0;0.5;0.5
1;8;2;20.5;39.5;9;7;28.5;10;5;1;0;3.5;120.5;2.5;0;0;2;0;7;0;0;-0.58333333333333;2.5;6;5.5;6;2;2;606;2;2;1.5;4;0.5;1;0.1;0.2;0.7;2;4;12;87;4;0;0;2;0;4.5;3;4.5;4.5;3;4.5;0;2.25;2.25;0;0;779.5;47;0;1;0
1;9;4;24.25;35.75;8.5;7;23.75;18;5.5;2.5;1;7;70;6.75;0;1;0;0;4.75;12;2;2.49999999999999;3.75;3;3;2.25;4;4;644.75;2.25;2.25;0.75;2;0.5;0.5;0.125;0.125;0.25;1.25;2;17.25;60.75;2;0.25;0.25;2;0.25;4;2.5;4;4;2.5;4;0.125;2;2;0;0.25;357;21.5;0;0.5;0
