min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
3;1;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[[2:23:230:[1]:5]:[6:5:23:230]:[5:23:1:230]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
3;20;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;20;12;199;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;1548165259;1548165259;0.0;0.0;0.0;7.740826295E8;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[20]]
3;21;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;21;12;211;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[20];2;0;0;0;0;0;0;0;0;0;1548365199;1548365199;0.0;0.0;0.0;7.741825995E8;true;1;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[21]]
3;22;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;22;19;228;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[20];2;0;0;0;0;0;0;0;0;0;1548365199;1548365199;0.0;0.0;0.0;7.741825995E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[22]]
3;23;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];180;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;23;5;230;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;1548165259;1548165259;0.0;0.0;0.0;7.740826295E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 4 (id=23) items: { }, parents: { 1 } by Wall-e  3 (id=5) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[23]]
4;1;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[[2:45:295:[35]:18]:[6:18:45:295]:[5:45:35:295]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;20;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;20;12;199;1;1;0;1;0;1;0.0;1.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;1548165259;1548165259;0.0;0.0;0.0;7.740826295E8;false;0;3;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;21;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;21;12;211;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[20];2;0;0;0;1;0;1;0;0;0;1548365199;1548365199;0.0;0.5;0.0;7.741825995E8;true;1;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;22;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;22;19;228;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[20];2;0;0;0;1;0;1;0;0;0;1548365199;1548365199;0.0;0.5;0.0;7.741825995E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;23;18;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19];87;93;8;1;0;18;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;23;5;230;1;1;0;14;13;1;0.9285714285714286;0.07142857142857142;-2.7755575615628914E-17;13;93;93;6;29;[1];2;0;0;0;0;0;0;0;0;0;1548165259;1548165259;0.0;0.0;0.0;7.740826295E8;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 8 (id=45) items: { }, parents: { 35 } by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
