min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
0;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[[4:18:33:59:0:43:33:18:[[59:0:-1]]]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 1 (by Wall-e  16) (id=43): "value of 138" -0 by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
0;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;28;24;1;1;0;5;2;2;0.4;0.4;0.19999999999999996;2;3;3;6;29;[1];2;0;0;0;0;0;0;0;0;0;1274740533;1274740533;0.0;0.0;0.0;6.373702665E8;false;0;1;0;0;0;0;0;0;0;0;0;0;on Idea 1 (by Wall-e  16) (id=43): "value of 138" -0 by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[33]:[33:28:1]:[33:1:1]]
0;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;20;34;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;5;0;5;2;0;2;1274764873;1274764873;0.0;2.5;1.0;6.373824365E8;false;0;2;0;0;0;0;0;0;0;0;0;0;on Idea 1 (by Wall-e  16) (id=43): "value of 138" -0 by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[34]:[34:33:1]:[34:20:1]]
0;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;8;38;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[34];2;0;0;0;0;0;0;0;0;0;1274775013;1274775013;0.0;0.0;0.0;6.373875065E8;false;0;0;0;0;0;0;0;0;0;0;0;0;on Idea 1 (by Wall-e  16) (id=43): "value of 138" -0 by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[35]:[35:8:1]:[35:34:1]]
0;36;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;36;20;47;3;3;0;2;1;1;0.5;0.5;0.0;1;1;1;6;29;[34];2;0;0;0;0;0;0;0;0;0;1274775013;1274775013;0.0;0.0;0.0;6.373875065E8;true;1;0;0;0;0;0;0;0;0;0;0;0;on Idea 1 (by Wall-e  16) (id=43): "value of 138" -0 by Wall-e  16 (id=18) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[36]:[36:20:1]:[36:34:1]]
1;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[[2:75:119:[49]:7]:[6:7:75:119]:[5:75:49:119]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;28;24;1;1;0;7;2;2;0.2857142857142857;0.2857142857142857;0.4285714285714286;2;3;3;6;29;[1];2;0;0;0;0;0;0;0;0;0;1274740533;1274740533;0.0;0.0;0.0;6.373702665E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;20;34;2;2;0;1;1;0;1.0;0.0;0.0;1;1;1;6;29;[33];2;0;0;0;7;0;7;2;0;2;1274764873;1274764873;0.0;3.5;1.0;6.373824365E8;false;0;3;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;8;38;3;3;0;6;0;5;0.0;0.8333333333333334;0.16666666666666663;0;0;0;6;29;[34];2;0;0;0;1;0;1;1;0;1;1274775013;1274775013;0.0;0.5;0.5;6.373875065E8;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;36;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];286;24;15;1;0;28;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;36;20;47;3;3;0;2;1;1;0.5;0.5;0.0;1;1;1;6;29;[34];2;0;0;0;1;0;1;1;0;1;1274775013;1274775013;0.0;0.5;0.5;6.373875065E8;true;1;0;0;0;0;0;0;0;0;0;0;0;Idea 15 (id=75) items: { }, parents: { 49 } by Wall-e  5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
