min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerOpinion;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaValue;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
0;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[[2:34:57:[1]:13]:[6:13:34:57]:[5:34:1:57]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 1 } by Wall-e 11 (id=13) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
0;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;4380;9;30;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-582744658;0;0.0;0.0;0.0;-2.91372329E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 1 } by Wall-e 11 (id=13) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[33]:[33:9:1]:[33:1:1]]
0;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;6406;13;57;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-582744658;0;0.0;0.0;0.0;-2.91372329E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 1 } by Wall-e 11 (id=13) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[34]:[34:1:1]:[34:13:1]]
1;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[[2:46:115:[34]:24]:[6:24:46:115]:[5:46:34:115]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;4380;9;30;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;-582744658;0;0.0;0.0;0.0;-2.91372329E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;6406;13;57;1;1;0;7;6;1;0.8571428571428571;0.14285714285714285;5.551115123125783E-17;6;17;17;6;29;[1];2;0;0;0;0;0;0;0;0;0;-582744658;0;0.0;0.0;0.0;-2.91372329E8;false;0;3;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;4112;28;75;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[34];2;0;0;0;7;0;7;6;0;6;-582687162;0;0.0;3.5;3.0;-2.91343581E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[35]:[35:28:1:1]:[35:34:1:1]]
1;36;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;36;4325;27;76;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[34];2;0;0;0;7;0;7;6;0;6;-582687162;0;0.0;3.5;3.0;-2.91343581E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[36]:[36:34:1:1]:[36:27:1:1]]
1;43;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;43;4767;23;112;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[35];2;0;0;0;0;0;0;0;0;0;-582668926;0;0.0;0.0;0.0;-2.91334463E8;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[43]:[43:35:1:1]:[43:23:1:1]]
1;45;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];293;17;7;1;0;7;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;45;4717;12;115;4;4;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[43];2;0;0;0;0;0;0;0;0;0;-582632627;0;0.0;0.0;0.0;-2.913163135E8;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 7 (id=46) items: { }, parents: { 34 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[45]:[45:43:1:1]:[45:12:1:1]]
