min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerOpinion;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaValue;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
0;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[[2:34:53:[33]:24]:[6:24:34:53]:[5:34:33:53]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 33 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
0;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;6707;20;50;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;6041117;6041117;0.0;0.0;0.0;3020558.5;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 33 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[33]:[33:1:1]:[33:20:1]]
0;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;2;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;4948;24;53;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;0;0;0;0;0;0;6091153;6091153;0.0;0.0;0.0;3045576.5;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 2 (id=34) items: { }, parents: { 33 } by Wall-e 22 (id=24) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[34]:[34:33:1]:[34:24:1]]
1;1;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[[2:38:107:[35]:7]:[6:7:38:107]:[5:38:35:107]];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;1000;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;10;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;33;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;33;6707;20;50;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[1];2;0;0;0;0;0;0;0;0;0;6041117;6041117;0.0;0.0;0.0;3020558.5;false;0;4;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;34;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;34;4948;24;53;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;0;0;0;0;0;0;6091153;6091153;0.0;0.0;0.0;3045576.5;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;35;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;35;6755;29;68;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;0;0;0;0;0;0;6091153;6091153;0.0;0.0;0.0;3045576.5;false;0;1;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[35]:[35:29:1:1]:[35:33:1:1]]
1;36;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;36;4281;28;84;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;0;0;0;0;0;0;6091153;6091153;0.0;0.0;0.0;3045576.5;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[36]:[36:28:1:1]:[36:33:1:1]]
1;37;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;37;4471;4;87;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[33];2;0;0;0;0;0;0;0;0;0;6091153;6091153;0.0;0.0;0.0;3045576.5;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[37]:[37:4:1:1]:[37:33:1:1]]
1;38;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];310;0;6;1;0;0;0;[];0;[0000];0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;38;4047;7;107;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;6;29;[35];2;0;0;0;0;0;0;0;0;0;6110016;6110016;0.0;0.0;0.0;3055008.0;false;0;0;0;0;0;0;0;0;0;0;0;0;Idea 6 (id=38) items: { }, parents: { 35 } by Wall-e 5 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[38]:[38:35:1:1]:[38:7:1:1]]
