min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;nbVoteGraph;weightVoteGraph;persuasionGraph;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
3;1;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[];[];[];[[2:12:3:[1]:3]:[6:3:12:3]:[5:12:1:3]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;3;0;0;0;0;0;0;0;0;0;0;pique nique (id=12) items: { }, parents: { 1 } by playerName1 (id=3) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
3;9;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;9;5;206;1;1;0;1;0;1;0.0;1.0;0.0;0;0;0;19;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;pique nique (id=12) items: { }, parents: { 1 } by playerName1 (id=3) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[9]:[9:1:1:3]:[9:5:1:3]]
3;10;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;10;8;220;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;pique nique (id=12) items: { }, parents: { 1 } by playerName1 (id=3) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[10]:[10:1:1:3]:[10:8:1:3]]
3;12;8;[2:3:4:5:6:7:8];80;0;3;1;0;1;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;12;3;233;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;11;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;pique nique (id=12) items: { }, parents: { 1 } by playerName1 (id=3) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[12]:[12:3:1:3]:[12:1:1:3]]
4;1;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[[2:24:4:[1]:7]:[6:7:24:4]:[5:24:1:4]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;5;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;9;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;9;5;206;1;1;0;1;0;1;0.0;1.0;0.0;0;0;0;19;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;10;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;10;8;220;1;1;0;2;2;0;1.0;0.0;0.0;2;3;3;6;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;1;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;12;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;12;3;233;1;1;0;1;0;0;0.0;0.0;1.0;0;0;0;11;0;[1];2;0;0;0;0;0;0;0;0;0;-1474913923;0;0.0;0.0;0.0;-7.374569615E8;false;0;0;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;13;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;13;8;240;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;0;[10];2;0;0;0;2;0;2;2;0;2;-1474692993;0;0.0;1.0;1.0;-7.373464965E8;true;1;1;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[13]:[13:10:1:4]:[13:8:1:4]]
4;16;8;[2:3:4:5:6:7:8];75;5;10;1;0;6;0;[];[];[];[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;16;8;249;3;3;0;0;0;0;0.0;0.0;0.0;0;0;0;7;0;[13];2;0;0;0;0;0;0;0;0;0;-1474673477;0;0.0;0.0;0.0;-7.373367385E8;true;1;2;0;0;0;0;0;0;0;0;0;0;DEGUISEMENT REYNAUD PAS CHER (id=24) items: { }, parents: { 1 } by CR7 (id=7) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[16]:[16:8:1:4]:[16:13:1:4]]
