min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
0;1;3;30;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;Information (id=8): null by playerName0 (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
3;1;14;140;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;2;0;0;0;0;0;0;0;idea 1 (id=21) items: { }, parents: { 1 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
3;20;14;140;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;20;13;232;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;9;76;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 1 (id=21) items: { }, parents: { 1 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[20]:[20:1:1:3]:[20:13:1:3]]
3;21;14;140;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;21;9;232;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;68;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 1 (id=21) items: { }, parents: { 1 } by playerName3 (id=9) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[21]:[21:9:1:3]:[21:20:1:3]]
4;1;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;5;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;20;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;20;13;232;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;9;76;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;21;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;21;9;232;1;1;0;2;1;0;0.5;0.0;0.5;2;4;4;6;68;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
4;22;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;22;7;245;1;1;1;2;0;0;0.0;0.0;1.0;2;5;5;18;74;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[22]:[22:1:1:4]:[22:7:1:4]]
4;24;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;24;14;276;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;6;25;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[24]:[24:22:1:4]:[24:14:1:4]]
4;28;14;131;9;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;28;17;299;1;1;1;0;0;0;0.0;0.0;0.0;0;0;0;6;50;2;0;0;0;0;0;0;0;0;0;1057196861;1057196861;0.0;0.0;0.0;5.285984305E8;false;0;0;0;0;0;0;0;0;0;idea 4 (id=28) items: { 4 }, parents: { 1 } by Danny (id=17) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[28]:[28:21:1:4]:[28:17:1:4]]
