min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
0;1;3;[2:4:6];30;0;3;1;0;0;0;[[1:6:46]:[2:7:54:[1]:2]:[6:2:7:54]:[5:7:1:54]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;3;0;0;0;0;0;0;0;0;0;0;améliorer l'environnement (id=7) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[1]]
0;3;3;[2:4:6];30;0;3;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;3;2;31;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;22;0;[1];4;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'environnement (id=7) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[3]]
0;5;3;[2:4:6];30;0;3;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;2;42;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;[1];2;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'environnement (id=7) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[5]]
0;7;3;[2:4:6];30;0;3;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;7;2;54;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;25;0;[1];2;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'environnement (id=7) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[7]]
1;1;6;[2:4:6:8:9];60;0;4;1;0;0;0;[[1:8:71]:[1:9:74]:[2:10:80:[1]:2]:[6:2:10:80]:[5:10:1:80]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;4;0;0;0;0;0;0;0;0;0;0;améliorer l'animation (id=10) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;3;6;[2:4:6:8:9];60;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;3;2;31;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;22;0;[1];7;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'animation (id=10) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;5;6;[2:4:6:8:9];60;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;5;2;42;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;[1];5;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'animation (id=10) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;7;6;[2:4:6:8:9];60;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;7;2;54;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;25;0;[1];5;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'animation (id=10) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[]
1;10;6;[2:4:6:8:9];60;0;4;1;0;0;0;[];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;10;2;80;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;21;0;[1];2;0;0;0;0;0;0;0;0;0;1271428004;1271428004;0.0;0.0;0.0;6.35714002E8;false;0;0;0;0;0;0;0;0;0;0;0;0;améliorer l'animation (id=10) items: { }, parents: { 1 } by serveur (id=2) scores{ creativite 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[10]]
3;1;20;[2:4:6:8:9:11:12:13:14:15:16:17:18:19:20:21:22:23:26];193;7;11;1;0;5;0;[[4:14:28:237:1:36:28:14:[[237:1:1]]]];0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;[];0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;8;0;0;0;0;0;0;0;0;0;0;on idea 5 (by Bab) (id=36): "Mieux manger pour mieux travailler !" +1 by Bab (id=14) scores{ creativite 0.0 pertinence 3.0 persuasion 0.0 adaptation 0.0 };[]
