min;id;players;playersList;totalRemainingTokens;totalUsedTokens;totalIdeas;rootIdeaId;totalItems;totalComments;totalIdeasWithBets;InnovNationGraph;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercreativite;playerpertinence;playerpersuasion;playeradaptation;rankcreativite;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParentsId;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentId;commentIdeaId;commentOwnerId;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph;commentGraph
0;2;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[[4:18:33:59:0:43:33:18:[[59:0:-1]]]];2;10;0;0;0;0;0;59;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[2]];[[2]];[[2]]
0;3;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];3;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[3]];[[3]];[[3]:[3:i35:1:1]:[3:i36:1:4]]
0;4;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];4;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[4]:[4:18:-200:3]:[4:30:-100:3]:[4:16:-100:3]:[4:9:-200:8:9]:[4:9:-200:2:7]:[4:25:400:2]:[4:8:-500:2:8]:[4:29:-100:2]:[4:19:0:3]:[4:7:0:3]:[4:8:-600:9]:[4:9:-50:10]];[[4]:[4:i55:2:2]:[4:i57:2:8]];[[4]:[4:i49:1:2]]
0;5;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];5;9;1;0;0;1;1;5;0;0;0;0;0.0;0.0;0.0;0.5;31.0;31.0;30.0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[5]:[5:7:0:3]:[5:18:100:0:1]:[5:28:0:2]:[5:22:0:2]:[5:18:100:2:5]:[5:19:0:3:5]:[5:12:-100:6]:[5:25:200:6]:[5:32:-200:6]:[5:30:-100:6]:[5:16:300:6]:[5:18:-200:6]:[5:19:300:6]:[5:9:0:8:9]:[5:4:-100:8]:[5:8:-33:9]:[5:9:75:10]];[[5]:[5:i33:1]:[5:i55:10:3]:[5:i57:1:6]];[[5]:[5:i49:1:2]:[5:i74:1:13]:[5:i50:1:15]]
0;6;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];6;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[6]:[6:17:-100:1]:[6:27:200:1]:[6:10:-300:1]:[6:5:200:2:5]:[6:28:-200:2]:[6:22:-100:2]:[6:18:300:2:2]:[6:4:100:2:7]:[6:9:-200:2:7]:[6:25:400:2:5]:[6:8:-500:2:8]:[6:29:-100:2]:[6:19:-200:3:5]:[6:7:-100:3]:[6:18:200:3:5]:[6:30:-50:3:5]:[6:16:-50:3:5]:[6:5:200:6]:[6:12:0:6]:[6:25:400:6]:[6:32:0:6]:[6:30:-50:6]:[6:16:-50:6]:[6:18:200:6]:[6:19:-200:6]:[6:9:-115:8:9]:[6:4:100:8]:[6:8:-500:9]:[6:9:-115:10]];[[6]:[6:i55:1:1]:[6:i49:2:1]];[[6]:[6:i57:1:5]:[6:i53:1:5]:[6:i51:1:7]:[6:i33:1:10]:[6:i50:1:12]]
0;7;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];7;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[7]:[7:5:0:6]:[7:12:0:6]:[7:25:0:6]:[7:32:0:6]:[7:30:0:6]:[7:16:0:6]:[7:18:0:6]:[7:19:0:6]:[7:9:120:8:9]:[7:4:0:8]:[7:14:25:9]:[7:8:0:9]:[7:9:120:10]];[[7]:[7:i45:2:1]:[7:i49:6:3]:[7:i55:10:4]];[[7]:[7:i57:1:5]:[7:i72:1:7]:[7:i74:1:11]]
0;8;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];8;10;0;1;0;0;0;21;0;0;0;0;0.0;0.0;0.0;0.0;31.0;31.0;31.0;31.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[8]:[8:18:-200:3]:[8:30:-100:3]:[8:16:-100:3]:[8:29:-100:2]:[8:9:300:10]];[[8]:[8:i55:5:2]:[8:i57:3:9]];[[8]:[8:i35:1:2]:[8:i33:1:11]]
0;9;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];9;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[9]:[9:25:400:2]:[9:8:-500:2]:[9:29:-100:2]:[9:18:-200:3]:[9:30:-100:3]:[9:16:-100:3]];[[9]:[9:i55:4:2]];[[9]:[9:i64:1:7]:[9:i49:1:8]:[9:i57:1:10]]
0;10;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];10;10;0;0;0;1;0;8;0;0;0;0;0.0;0.0;0.0;0.0;31.0;31.0;31.0;31.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[10]:[10:18:-100:0:2]:[10:32:200]:[10:5:-100]:[10:4:100:2:7]:[10:9:-200:2:9]:[10:25:400:2]:[10:8:-500:2:8]:[10:29:-100:2]:[10:18:-200:3]:[10:30:-50:3]:[10:16:-50:3]:[10:4:100:8]:[10:8:-500:9]:[10:9:-200:10]];[[10]:[10:i55:3:1]];[[10]:[10:i33:1]:[10:i72:1:7]:[10:i57:1:7]:[10:i49:1:10]:[10:i75:1:11]:[10:i34:1:13]]
0;11;31;[2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19:20:21:22:23:24:25:26:27:28:29:30:31:32];306;4;4;1;0;7;0;[];11;10;0;0;0;0;0;55;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[11]];[[11]];[[11]:[11:i35:1:1]:[11:i33:1:6]]
