min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;persuasionGraph;tokenGraph;commentGraph
3;2;14;140;0;2;4;0;0;2;10;0;0;4;0;0;198;0;1;0;0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
3;3;14;140;0;2;4;0;0;3;10;0;0;0;0;0;219;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
3;7;14;140;0;2;4;0;0;7;10;0;0;0;0;0;202;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[];[];[]
3;9;14;140;0;2;4;0;0;9;10;0;1;0;0;0;194;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[9]:[9:12:700:11]:[9:11:-100:12]:[9:19:-100:4]:[9:7:25:8]];[[9]:[9:i22:2:4]:[9:i66:7:10:12]:[9:i66:1:13]];[[9]]
3;10;14;140;0;2;4;0;0;10;10;0;0;0;0;0;185;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[10]:[10:14:0:6]:[10:15:-50:10]:[10:17:-50:11]:[10:12:66:12]:[10:7:100:8]:[10:16:20:13]];[[10]:[10:i21:3:4]:[10:i31:1:9]:[10:i46:2:8]:[10:i32:1:10]];[[10]:[10:i31:1:6]:[10:i34:1:12]]
3;11;14;140;0;2;4;0;0;11;10;0;0;0;0;0;185;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[11]:[11:10:16:12]:[11:14:-200:9]:[11:17:50:10]:[11:16:33:11:12]:[11:15:100:13]:[11:16:83:13]:[11:9:100:13]];[[11]:[11:i34:1:6]:[11:i32:1:7]:[11:i45:1:8]:[11:i46:2:11]:[11:i66:2:12]:[11:i38:2:13]];[[11]]
3;12;14;140;0;2;4;0;0;12;10;0;0;0;0;0;178;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[12]:[12:15:100:7:12]:[12:11:0:12:12]:[12:11:50:13]:[12:15:150:13]:[12:13:-200:13]:[12:9:0:13]];[[12]:[12:i28:2:6]:[12:i38:3:11]:[12:i60:1:12]:[12:i80:1:13]];[[12]:[12:i38:1:10]:[12:i66:1:11]:[12:i31:1:12]]
3;13;14;140;0;2;4;0;0;13;10;0;1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[13]];[[13]:[13:i60:3:13]:[13:i22:2:13]:[13:i20:5:13]];[[13]]
3;14;14;140;0;2;4;0;0;14;10;0;0;0;0;0;146;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[14]:[14:10:233:9]:[14:10:200:8:8]:[14:7:100:8]:[14:17:100:10:10]:[14:15:-33:10]:[14:17:80:11]:[14:16:50:11:12]:[14:12:33:12]:[14:16:66:13]];[[14]:[14:i31:2:6]:[14:i46:4:7]:[14:i45:3:9]:[14:i80:1:13]];[[14]]
3;15;14;140;0;2;4;0;0;15;10;0;0;0;0;0;89;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;[[15]:[15:13:-200:13]:[15:16:33:13]];[[15]:[15:i28:1:7]:[15:i46:2:10]:[15:i20:1:11]:[15:i38:1:13]];[[15]]
