min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercréativité;playerpertinence;playerpersuasion;playeradaptation;rankcréativité;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;persuasionGraph;tokenGraph;commentGraph
0;2;2;20;0;0;4;0;0;2;10;0;0;4;0;0;5;0;0;0;0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;recrutement (id=7): null by playerName0 (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[2]];[[2]];[[2]]
0;3;2;20;0;0;4;0;0;3;10;0;0;0;0;0;19;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;recrutement (id=7): null by playerName0 (id=2) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[3]:[3:10:-100:3:11]:[3:29:60:9:12]:[3:10:-12:12:12]:[3:10:8:13]:[3:29:93:13]:[3:18:-44:13]:[3:22:20:19]];[[3]:[3:i20:5:3]:[3:i30:5:4]];[[3]]
2;2;15;150;0;6;4;0;0;2;10;0;0;4;0;0;144;0;4;0;0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
2;3;15;150;0;6;4;0;0;3;10;0;1;0;0;0;53;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[];[];[]
2;8;15;150;0;6;4;0;0;8;10;0;1;0;0;0;36;0;0;0;0;0.0;0.0;0.0;0.0;15.0;15.0;15.0;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[8]:[8:10:40:9]:[8:37:42:11]:[8:13:-50:12]:[8:75:300:13]:[8:11:-200:5]:[8:15:300:14:14]:[8:15:350:15]:[8:18:-166:16]:[8:29:55:16:16]:[8:29:80:17]];[[8]:[8:i32:2:4:12]:[8:i32:-2:13]:[8:i46:5:7]:[8:i47:2:8]:[8:i101:1:12]:[8:i117:2:13]];[[8]]
2;9;15;150;0;6;4;0;0;9;10;0;1;0;0;0;29;0;0;0;0;0.0;0.0;0.0;0.0;15.0;15.0;15.0;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[9]:[9:29:300:13]:[9:18:-400:13]:[9:22:42:19]];[[9]:[9:i23:1:10]:[9:i30:2:12]:[9:i65:2:16]:[9:i71:2:18]];[[9]]
2;10;15;150;0;6;4;0;0;10;10;0;1;0;0;0;54;0;0;0;0;0.0;0.0;0.0;0.0;14.0;14.0;14.0;14.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[10]:[10:37:150:11]:[10:8:125:13]:[10:75:-75:13]:[10:16:0:6]:[10:15:-60:14:14]:[10:15:-76:15]:[10:13:-133:12]:[10:11:-200:15]:[10:18:71:16]:[10:29:-12:17]];[[10]:[10:i20:6:3:11]:[10:i20:-2:12:12]:[10:i20:-4:13]:[10:i32:2:9]:[10:i81:2:10]:[10:i61:2:12]:[10:i107:4:13]];[[10]:[10:i25:1:5]:[10:i82:1:11]:[10:i107:1:15]]
2;11;15;150;0;6;4;0;0;11;10;0;0;0;0;0;103;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[11]:[11:37:50:11]:[11:13:-57:12]:[11:8:62:13]:[11:75:-37:13]:[11:15:-33:14:14]:[11:15:-43:15]:[11:10:50:9]:[11:9:25:10]:[11:18:45:16]:[11:29:-8:17]];[[11]:[11:i32:4:5]:[11:i24:2:5]:[11:i23:2:6]:[11:i107:2:15]];[[11]]
2;12;15;150;0;6;4;0;0;12;10;0;1;0;0;0;95;0;0;0;0;0.0;0.0;0.0;0.0;15.0;15.0;15.0;15.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[12]:[12:29:450:9:10]:[12:29:425:11:12]:[12:29:475:13:16]:[12:13:-37:15]:[12:29:505:17]];[[12]:[12:i59:10:7]];[[12]]
2;13;15;150;0;6;4;0;0;13;10;0;0;0;0;0;93;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;idea 5 (id=26) items: { }, parents: { 1 } by laetitia (id=12) scores{ créativité 0.0 pertinence 0.0 persuasion 0.0 adaptation 0.0 };[[13]:[13:15:-150:14:14]:[13:75:-50:15]:[13:15:-183:15]:[13:8:500:13]:[13:75:-300:13:14]:[13:18:400:13:15]:[13:18:525:16]:[13:29:130:17]];[[13]:[13:i77:2:12]:[13:i32:3:12]:[13:i21:3:13]:[13:i59:2:15]];[[13]]
