Day;Seller;NbBuyer;MoyHour;SumQty;NbProd;MoyTransPrice;MoyFinPrice;MoyQualID;MoyStdPrice;MoyProdPrice;MoyAge;MoyQuality;MoyQty;MoyQualAdmId;MoyIDAdmin;MoyAdminPrice;Moysupply;MoyHour2;MoymargBuyer;MoyNewOffer;MoymargSeller;MoyVmargBuyer;MoyVmargSeller;Moydem2;Moysup2;Moysup/dem;Moyqty/dem;Moyqty/off;SumVmargBuyer;SumVmargSeller;Moydertrans
1;1;3;159.333333333333;21;3;30.16;32;3.33333333333333;30.7033333333333;17.25;0;0.661467;7;1.33333333333333;10133.3333333333;44.1663333333333;241.333333333333;160;0.061007958;241.333333333333;0.748480663;0.427055703333333;5.215150251;176.666666666667;385;2.93333333333333;0.0635610766666667;0.0182676113333333;1.28116711;15.645450753;196.666666666667
1;2;3;84.3333333333333;22;3;19.42;24;1;19.42;14.5433333333333;0.666666666666667;0.315550666666667;7.33333333333333;0.333333333333333;10033.3333333333;14.3852;58.6666666666667;86.6666666666667;0.270666487;58.6666666666667;0.351091912666667;1.861015194;3.15982721366667;210;310.333333333333;1.5;0.034710145;0.0237022423333333;5.583045582;9.479481641;153.333333333333
1;3;5;162.6;41;5;25.244;28.8;1.8;25.244;16.606;0.4;0.5471838;8.2;0.8;10880;27.03532;140.4;164;0.1656718454;140.4;0.5342883064;1.3802961764;4.2047260418;194;269;1.96;0.044313947;0.0476872516;6.901480882;21.023630209;194
1;4;3;71.3333333333333;26;3;32.8433333333333;36;3;32.8433333333333;19.49;0;0.942196;8.66666666666667;2;11533.3333333333;46.204;376;70;0.0966221196666667;376;0.691445088333333;0.826166321;5.95071068533333;70.6666666666667;531;7.53333333333333;0.12260228;0.0169418073333333;2.478498963;17.852132056;170
1;6;10;128.8;72;10;27.27;30;0.8;27.176;16.45;0.6;0.5490838;7.2;0.8;11680;35.002;226.4;130;0.1436856326;226.4;0.6544311896;0.752167387;4.7834185364;224;476.6;2.12;0.0320217392;0.0156120709;7.52167387;47.834185364;165
1;7;3;96.3333333333333;28;3;14.94;20;0;14.94;14.94;1;0.123843;9.33333333333333;0;11000;0;0;96.6666666666667;0.338688086;0;0;3.16108879966667;0;220;101;0.5;0.042424242;0.092409241;9.483266399;0;150
1;8;7;95.4285714285714;61;7;16.9142857142857;22.2857142857143;1.42857142857143;18.3414285714286;16.2614285714286;0.857142857142857;0.386961142857143;8.71428571428571;0.285714285714286;10028.5714285714;6.59825714285714;53.1428571428571;95.7142857142857;0.347568863285714;53.1428571428571;0.0423050224285714;2.984327195;0.583794590428571;181.428571428571;286.142857142857;1.97142857142857;0.0568367347142857;0.0306738687142857;20.890290365;4.086562133;138.571428571429
1;9;2;174;13;2;17.03;24;0;17.03;17.03;1;0.317122;6.5;0;10000;0;0;175;0.409277745;0;0;2.6603053435;0;200;271;1.4;0.0325;0.02398524;5.320610687;0;195
1;10;4;138.5;26;4;15.62;22;1.25;19.3475;15.8575;1;0.2794545;6.5;0.25;11025;11.1236;41.25;137.5;0.408450704;41.25;-0.01433313225;3.103072983;-0.05733252875;222.5;171.5;0.8;0.02934782575;0.0570664115;12.412291932;-0.229330115;170
1;11;7;203.714285714286;40;7;26.6842857142857;29.7142857142857;2.71428571428571;27.2242857142857;17.6585714285714;0.285714285714286;0.545993857142857;5.71428571428571;1;10100;31.6917714285714;181.714285714286;204.285714285714;0.140332221;181.714285714286;0.514130019428572;0.743983894571428;3.03211194742857;175.714285714286;351.857142857143;2.67142857142857;0.0499112688571429;0.0164874614285714;5.207887262;21.224783632;212.857142857143
1;13;9;142.444444444444;62;9;26.85;30.2222222222222;0.777777777777778;27.9611111111111;17.4533333333333;0.222222222222222;0.602996888888889;6.88888888888889;1.22222222222222;10122.2222222222;34.9131111111111;224;143.333333333333;0.163451312333333;224;0.530513738444444;1.23076452166667;3.38380176222222;152.222222222222;357.444444444444;3.27777777777778;0.0653416148888889;0.0199810131111111;11.076880695;30.45421586;170
1;15;3;83;22;3;33.6;36;2;33.6;18.01;0;0.855894;7.33333333333333;2;11200;49.206;202;83.3333333333333;0.071428571;202;0.865630205;0.523809523666667;6.34795483966667;50;201;4;0.146666666666667;0.0364842456666667;1.571428571;19.043864519;90
1;16;3;120.666666666667;21;3;16.23;24;1;16.23;16.23;1;0.249344;7;0;11000;0;0;120;0.478743068;0;0;3.35120147866667;0;220;101;0.5;0.0318181816666667;0.0693069306666667;10.053604436;0;173.333333333333
1;17;7;168.857142857143;58;7;31.6;36;6;31.66;17.14;0;0.825827;8.28571428571429;2;10200;46.1878;372;168.571428571429;0.139240506;372;0.843760825285714;1.15370705228571;6.986255059;70;377;5.4;0.118367347142857;0.021978022;8.075949366;48.903785413;197.142857142857
1;18;2;179;12;2;17.5;20;3;17.5;17.5;1;0.318267;6;0;11000;0;0;180;0.142857143;0;0;0.8571428575;0;220;101;0.5;0.027272727;0.0594059405;1.714285715;0;195
1;19;8;144.625;51;8;22.475;26;0.5;23.4125;16.8175;0.5;0.47493575;6.375;0.75;10075;22.33585;137;143.75;0.1920063385;137;0.32168297175;1.043786865;2.5232460695;175;327;2.475;0.05038431675;0.019220493875;8.35029492;20.185968556;145
1;20;2;82.5;15;2;30.06;32;3;30.06;15.64;0;0.651825;7.5;1;11100;44.4944;165;80;0.064537591;165;0.921994885;0.484031936;6.914961637;230;383;1.7;0.0326086955;0.0195822455;0.968063872;13.829923274;90
2;1;5;71.8;33;5;23.164;26.4;2.4;22.812;16.788;0.4;0.4776088;6.6;1;20500;25.50608;364.8;72;0.1466141026;187.6;0.3858406952;1.0633983768;2.6996435388;154.4;415.4;3.28;0.0559142178;0.0237335606;5.316991884;13.498217694;136
2;2;8;85.625;77;8;22.3525;28;2;22.36375;17.54;1.375;0.46639625;9.625;0.75;21700;27.135975;293.125;85;0.264281073375;123;0.272837207;2.47334612575;2.728372069125;177.5;489.125;3.325;0.075885799;0.0269145375;19.786769006;21.826976553;116.25
2;3;6;72.3333333333333;50;6;20.3183333333333;25.3333333333333;0.833333333333333;20.3333333333333;16.6133333333333;0.666666666666667;0.354117283333333;8.33333333333333;0.833333333333333;20083.3333333333;24.05875;326;73.3333333333333;0.244990042166667;144.333333333333;0.213060134333333;2.024267517;1.88511314483333;162.166666666667;241.833333333333;2.28333333333333;0.0667938775;0.0396374251666667;12.145605102;11.310678869;128.333333333333
2;4;17;108;114;17;22.4752941176471;27.5294117647059;1.47058823529412;22.9517647058824;16.7682352941176;0.764705882352941;0.476724588235294;6.70588235294118;0.764705882352941;21488.2352941176;27.7871823529412;425.235294117647;109.411764705882;0.229708811;136;0.334727471823529;1.563399191;2.30563048270588;211.941176470588;679.294117647059;3.22352941176471;0.0361987196470588;0.0189040379411765;26.577786247;39.195718206;147.647058823529
2;5;12;167.416666666667;90;12;22.6033333333333;28.6666666666667;0.416666666666667;22.7408333333333;17.6875;0.666666666666667;0.543836583333333;7.5;1.08333333333333;21108.3333333333;27.454025;440.333333333333;168.333333333333;0.255394618666667;203.5;0.284659489;1.99801463458333;2.21712725933333;169.416666666667;539.083333333333;3.625;0.0608788356666667;0.0225529124166667;23.976175615;26.605527112;177.5
2;6;4;58.5;37;4;22.3425;28;1.25;22.7075;17.055;0.25;0.50461365;9.25;1.25;21125;27.833525;469;60;0.25220225375;238;0.30556248075;2.3276421405;2.96245270775;142.75;306.75;3.325;0.088676957;0.03431507275;9.310568562;11.849810831;97.5
2;7;4;130.75;40;4;19.47;26;1.5;19.47;15.4;0.5;0.370718;10;0.5;21050;23.54555;242;132.5;0.360287707;67;0.269515932;3.6028770705;2.69515932;225;282;1.25;0.044466403;0.037515964;14.411508282;10.78063728;140
2;8;12;134.583333333333;93;12;23.045;29.3333333333333;2.58333333333333;23.7066666666667;16.4541666666667;0.25;0.616165316666667;7.75;1.33333333333333;20800;30.9694583333333;413.25;136.666666666667;0.26977994275;226.75;0.404891537333333;2.10918469633333;3.17204777658333;160.833333333333;389.25;3.26666666666667;0.0673654245;0.02302542825;25.310216356;38.064573319;180
2;9;9;179.111111111111;78;9;21.6666666666667;27.1111111111111;1;21.6666666666667;16.9;0.666666666666667;0.520261;8.66666666666667;1;20766.6666666667;26.383;287;180;0.248686800555556;170.333333333333;0.278442471;2.14481936677778;2.22629583677778;173.333333333333;309;2.56666666666667;0.0659451657777778;0.0304279294444445;19.303374301;20.036662531;195.555555555556
2;10;5;132;33;5;23.144;29.6;3.4;23.9;16.652;0.2;0.5725484;6.6;1.4;21140;29.9042;217.4;134;0.269291929;137.2;0.391475051;1.6007640508;2.3991078998;120;307.2;4.4;0.0885691698;0.023286505;8.003820254;11.995539499;146
2;11;3;144;24;3;24.3566666666667;32;3.66666666666667;25.6866666666667;18.43;0.333333333333333;0.672999666666667;8;1.33333333333333;20133.3333333333;26.9086;341.666666666667;146.666666666667;0.304421546333333;251.333333333333;0.320720907333333;2.20285792533333;2.486865542;113.666666666667;291.333333333333;3.7;0.0832504146666667;0.0353783536666667;6.608573776;7.460596626;150
2;12;2;131;20;2;26.62;36;3;26.62;19.1;0;0.96887;10;2;21200;34.1433;201;130;0.352366642;184;0.393717277;3.523666416;3.937172775;50;324;6.5;0.2;0.030864198;7.047332832;7.87434555;175
2;14;2;161;17;2;26.14;30;4;26.14;18.14;0.5;0.7563895;8.5;2;21200;34.1433;201;160;0.1480753135;184;0.441207689;1.135309075;3.7300299095;50;324;6.5;0.17;0.026234568;2.27061815;7.460059819;160
2;15;9;161.222222222222;85;9;22.9577777777778;27.5555555555556;0.777777777777778;23.3955555555556;16.4433333333333;1.22222222222222;0.424354444444444;9.44444444444444;0.777777777777778;21744.4444444444;27.5518;284.888888888889;161.111111111111;0.200952840666667;136.222222222222;0.394885662333333;1.92449552411111;3.89755182611111;162.222222222222;397.888888888889;3.25555555555556;0.082991091;0.0282276036666667;17.320459717;35.077966435;173.333333333333
