IDBuyer;Day;Hour;Seller;Buyer;Prod;QualID;FinPrice;TransPrice;StdPrice;ProdPrice;Age;r;Qty;Quality;QualAdmId;IDAdmin;AdminPrice;Hour;supply;NewOffer;margBuyer;margSeller;VmargBuyer;VmargSeller;dem2;sup2;sup/dem;qty/dem;qty/off;BuyType;TypeXP;Idbuyer;dertrans
10053;1;7;1;53;0;3;32;30,16;30,16;17,17;0;Qty;10;0,639355;1;10100;43,1556;10;176;176;0,061007958;0,756552126;0,610079576;7,565521258;230;389;1,7;0,043478261;0,025706941;N;XP4;10153;70
10046;1;40;4;46;0;3;36;31,85;31,85;17,53;0;Qty;8;0,826788;2;10200;46,1878;40;372;372;0,130298273;0,816885339;1,042386185;6,535082715;70;377;5,4;0,114285714;0,021220159;N;XP4;10246;120
10049;1;45;2;49;0;3;32;28,52;28,52;13,89;0;Qty;9;0,604052;1;10100;43,1556;50;176;176;0,122019635;1,053275738;1,098176718;9,479481641;230;389;1,7;0,039130435;0,023136247;N;XP4;10149;110
10053;1;65;6;53;2;1;32;30,46;30,46;17,17;1;Qty;10;0,605208;1;12100;43,7525;70;283;283;0,050558109;0,774024461;0,50558109;7,740244613;230;528;2,3;0,043478261;0,018939394;N;XP4;12153;70
10025;1;65;8;25;0;1;20;14,47;14,47;14,47;1;Qty;10;0,299303;0;10000;0;70;0;0;0,382170007;0;3,821700069;0;200;271;1,4;0,05;0,036900369;B;XP4;10025;110
10053;1;67;15;53;1;2;36;33,6;33,6;18,01;0;Qty;10;0,855894;2;11200;49,206;70;202;202;0,071428571;0,865630205;0,714285714;8,656302054;50;201;4;0,2;0,049751244;N;XP4;11253;70
10052;1;68;15;52;1;2;36;33,6;33,6;18,01;0;Qty;10;0,855894;2;11200;49,206;70;202;202;0,071428571;0,865630205;0,714285714;8,656302054;50;201;4;0,2;0,049751244;N;XP4;11252;90
10057;1;70;4;57;2;3;36;33,34;33,34;20,47;0;Qty;10;0,9999;2;12200;46,2121;70;378;378;0,079784043;0,628724963;0,797840432;6,287249634;71;608;8,6;0,14084507;0,016447368;R;XP4;12257;120
10023;1;70;7;23;1;0;20;14,94;14,94;14,94;1;Qty;10;0,123843;0;11000;0;70;0;0;0,338688086;0;3,386880857;0;220;101;0,5;0,045454545;0,099009901;B;XP4;11023;230
10026;1;72;2;26;0;0;20;14,87;14,87;14,87;1;Qty;10;0,1713;0;10000;0;70;0;0;0,344989913;0;3,449899126;0;200;271;1,4;0,05;0,036900369;B;XP4;10026;180
